,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
2860,300021,大禹节水,0.0,-98.0,,-0.08,,112.52,-97.79,,04-28
2861,603618,杭电股份,0.01,-66.67,,0.31,,829.8,-64.35,,04-28
2862,688186,广大特材,0.2,-39.39,,2.17,,2697.71,-34.42,,04-28
2863,688199,久日新材,0.21,-82.05,,0.85,,2290.79,-75.71,,04-28
2864,603003,龙宇燃油,-0.09,206.91,,-1.0,,-3887.47,212.89,,04-28
2865,600083,*ST博信,-0.02,-113.81,,,,-443.89,-113.81,,04-28
2866,2061,浙江交科,0.01,-75.0,,0.13,,990.1,-80.61,,04-28
2867,600483,福能股份,0.07,-49.07,,0.87,,11070.45,-47.69,,04-28
2868,659,珠海中富,-0.03,75.45,,-5.25,,-3764.78,75.77,,04-28
2869,603021,山东华鹏,0.01,-133.33,,0.13,,156.64,-115.2,,04-28
2870,600103,青山纸业,-0.01,-124.92,,-0.49,,-1747.74,-132.32,,04-28
2871,300387,富邦股份,0.14,133.33,,3.44,,4161.92,121.78,,04-28
2872,2401,中远海科,0.27,218.9,,8.27,,8238.62,218.78,,04-28
2873,688321,微芯生物,0.01,,,0.36,,519.23,241.62,,04-28
2874,600520,文一科技,-0.08,-27.27,,-3.33,,-1210.84,-32.83,,04-28
2875,2746,仙坛股份,0.35,-31.37,,4.81,,16238.82,3.76,,04-28
2876,300750,宁德时代,0.34,-29.04,,1.93,,74204.32,-29.14,,04-28
2877,603095,越剑智能,0.34,-9.72,,3.21,,3372.89,-9.72,,04-28
2878,600956,新天绿能,,,,,,61961.23,-7.39,,04-28
2879,300452,山河药辅,0.17,21.43,,4.44,,2385.01,22.6,,04-28
2880,600476,湘邮科技,-0.09,-438.46,,-0.09,,-1421.11,-444.27,,04-28
2881,600495,晋西车轴,-0.02,-300.0,,-0.89,,-2831.03,-553.08,,04-28
2882,600857,宁波中百,-0.03,-161.11,,-1.31,,-746.51,-161.93,,04-28
2883,300069,金利华电,-0.03,137.4,,-0.95,,-341.75,136.71,,04-28
2884,600512,腾达建设,-0.02,-110.53,,-0.55,,-2543.91,-108.48,,04-28
2885,2738,中矿资源,0.08,-27.43,,0.85,,2286.25,-19.7,,04-28
2886,600129,太极集团,-0.06,-131.58,,-0.98,,-3084.39,-129.34,,04-28
2887,603725,天安新材,-0.01,-200.0,,-0.38,,-306.45,-461.02,,04-28
2888,2442,龙星化工,0.0,-21.21,,0.1,,125.27,-21.01,,04-28
2889,300445,康斯特,0.05,-28.53,,1.34,,797.2,-28.52,,04-28
2890,600967,内蒙一机,0.09,7.41,,1.58,,14695.54,7.26,,04-28
2891,300778,新城市,0.26,-45.79,,1.8,,2081.46,-27.48,,04-28
2892,600187,国中水务,0.01,-1400.0,,0.49,,1675.57,-1345.85,,04-28
2893,300796,贝斯美,0.01,-96.0,,-0.16,,86.55,-96.15,,04-28
2894,603178,圣龙股份,0.0,-102.46,,0.11,,65.3,-102.45,,04-28
2895,300813,泰林生物,0.15,15.38,,2.01,,734.73,45.69,,04-28
2896,603200,上海洗霸,0.24,-4.28,,3.15,,2472.14,30.22,,04-28
2897,300509,新美星,0.02,-75.0,,0.9,,539.1,-57.8,,04-28
2898,859,国风塑业,0.01,115.0,,0.57,,952.31,113.44,,04-28
2899,603283,赛腾股份,0.12,-45.45,,2.0,,2054.68,-43.83,,04-28
2900,600261,阳光照明,0.06,-45.45,,2.25,,8473.74,-46.81,,04-28
2901,2541,鸿路钢构,0.08,-39.0,,0.84,,4153.53,-38.82,,04-28
2902,601169,北京银行,0.32,6.67,9.32,3.45,,666700.0,5.26,,04-28
2903,600281,太化股份,-0.0,-85.03,,-0.27,,-128.48,-85.09,,04-28
2904,300542,新晨科技,-0.05,25.0,,-1.88,,-1155.33,73.45,,04-28
2905,603332,苏州龙杰,0.0,-99.23,,0.02,,27.45,-99.16,,04-28
2906,601369,陕鼓动力,0.1,25.0,,2.52,,17159.1,36.61,,04-28
2907,601579,会稽山,0.07,-46.99,,1.09,,3411.98,-48.5,,04-28
2908,603533,掌阅科技,0.14,75.0,,4.35,,5522.27,78.24,,04-28
2909,300303,聚飞光电,0.04,-20.0,,2.45,,5471.72,-2.75,,04-28
2910,688080,映翰通,0.0,-96.58,,0.04,,17.76,-96.19,,04-28
2911,300630,普利制药,0.29,-23.73,,6.99,,8008.09,14.38,,04-28
2912,563,陕国投A,0.05,-12.95,,1.91,,21041.32,-13.01,,04-28
2913,601890,亚星锚链,0.02,-19.2,,0.65,,1940.55,-19.24,,04-28
2914,300008,天海防务,0.01,-371.43,,3.1,,1272.67,-369.42,,04-28
2915,2027,分众传媒,0.0,-87.0,,0.27,,3788.72,-88.87,,04-28
2916,607,华媒控股,-0.04,277.55,,-1.92,,-3763.6,278.23,,04-28
2917,300024,机器人,0.03,-35.65,,0.67,,4331.82,-35.77,,04-28
2918,2043,兔宝宝,-0.04,-133.33,,-1.61,,-2833.32,-130.7,,04-28
2919,688196,卓越新能,0.29,-35.56,,1.69,,3535.55,-12.72,,04-28
2920,300679,电连技术,0.06,-70.0,,0.52,,1770.31,-58.72,,04-28
2921,2692,ST远程,-0.06,-381.34,,-3.96,,-4224.26,-380.94,,04-28
2922,603001,奥康国际,0.01,-96.67,,0.07,,255.47,-96.77,,04-28
2923,2059,云南旅游,-0.03,-5.96,,-1.18,,-2715.92,30.22,,04-28
2924,603019,中科曙光,0.07,-12.5,,1.36,,5880.36,15.77,,04-28
2925,600862,中航高科,0.13,62.2,,4.35,,18583.6,62.68,,04-28
2926,300712,永福股份,0.05,-68.08,,0.83,,821.24,-58.5,,04-28
2927,688369,致远互联,-0.0,-99.14,,-0.01,,-9.61,-98.83,,04-28
2928,698,沈阳化工,-0.18,-566.67,,-4.1,,-14937.1,-563.86,,04-28
2929,600135,乐凯胶片,0.01,-67.16,,0.25,,611.27,-51.06,,04-28
2930,300091,金通灵,0.02,-61.15,,0.83,,2159.83,-61.21,,04-28
2931,300748,金力永磁,0.09,50.0,,2.65,,3576.29,35.68,,04-28
2932,300124,汇川技术,0.1,25.0,,1.97,,17249.64,33.57,,04-28
2933,300450,先导智能,0.11,-51.39,,2.18,,9427.87,-51.38,,04-28
2934,2796,世嘉科技,-0.02,-115.38,,-0.24,,-356.22,-124.01,,04-28
2935,603848,好太太,0.05,-61.54,,1.31,,1962.64,-61.29,,04-28
2936,2480,新筑股份,0.03,-198.46,,0.95,,2061.1,-198.3,,04-28
2937,600211,西藏药业,0.73,87.18,,5.11,,12853.14,81.75,,04-28
2938,603217,元利科技,0.31,-51.57,,1.29,,2800.02,-35.57,,04-28
2939,2513,*ST蓝丰,-0.05,-225.0,,-1.37,,-1541.42,-220.32,,04-28
2962,2689,远大智能,-0.05,2.92,,-4.34,,-5519.64,2.92,,04-28
2963,600078,澄星股份,0.01,0.0,,0.44,,761.2,-7.12,,04-28
2964,300038,ST数知,0.04,-72.95,,0.39,,4251.44,-72.96,,04-28
3000,2613,北玻股份,0.01,-134.52,,0.36,,547.51,-134.8,,04-28
3001,300289,利德曼,-0.04,-364.29,,-1.18,,-1547.29,-360.58,,04-28
3002,2629,ST仁智,-0.01,0.0,,-11.75,,-614.92,16.21,,04-28
3003,2342,巨力索具,0.01,-22.34,,0.29,,697.13,-22.84,,04-27
3004,596,古井贡酒,1.26,-19.23,,6.87,,63678.84,-18.71,,04-27
3005,300081,恒信东方,-0.02,-183.03,,-0.46,,-1189.45,-185.45,,04-27
3006,300773,拉卡拉,0.42,-4.55,,3.34,,16820.0,5.17,,04-27
3007,300131,英唐智控,-0.04,-200.0,,-2.3,,-3917.02,-186.45,,04-27
3008,600981,汇鸿集团,-0.02,-122.22,,-1.04,,-5454.13,-126.97,,04-27
3009,300489,中飞股份,-0.05,-56.01,,-1.31,,-461.67,-56.04,,04-27
3010,2503,搜于特,-0.02,-166.67,,-1.37,,-7403.28,-169.32,,04-27
3011,300538,同益股份,0.06,-36.8,,2.09,,958.56,12.02,,04-27
3012,2245,蔚蓝锂芯,0.01,-74.81,,0.47,,992.43,-74.8,,04-27
3013,603995,甬金股份,0.23,-20.69,,1.83,,5354.26,6.23,,04-27
3014,300555,路通视信,-0.03,-521.33,,-0.99,,-632.35,-518.97,,04-27
3015,2907,华森制药,0.07,-10.88,,1.68,,2784.68,-10.84,,04-27
3016,2262,恩华药业,0.14,13.54,,3.74,,13790.15,9.62,,04-27
3017,300626,华瑞股份,0.02,-20.0,,0.78,,427.05,-23.6,,04-27
3018,2983,芯瑞达,0.14,7.05,4.98,2.75,0.49,1435.85,7.1,,04-27
3019,603680,今创集团,0.09,-37.93,,1.77,,7406.92,-13.16,,04-27
3020,2395,双象股份,0.02,-2.78,,0.37,,313.63,-2.44,,04-27
3021,300397,天和防务,0.1,11.11,,2.14,,2462.88,10.09,,04-27
3022,300120,经纬辉开,0.03,-58.62,,0.49,,1192.76,-35.13,,04-27
3023,300446,ST乐凯,0.06,-76.77,,1.5,,1042.71,-65.16,,04-27
3024,300462,华铭智能,0.22,100.0,,2.56,,4185.69,174.86,,04-27
3025,300797,钢研纳克,-0.01,-118.64,,-0.49,,-347.3,-124.85,,04-27
3026,2542,中化岩土,0.02,0.0,,0.92,,3805.08,-7.53,,04-27
3027,300219,鸿利智汇,0.02,-89.48,,0.59,,1079.08,-89.52,,04-27
3028,2336,ST人乐,0.05,-38.36,,1.54,,2248.39,-32.18,,04-27
3029,300664,鹏鹞环保,0.13,26.1,,1.91,,6314.24,25.19,,04-27
3030,300025,华星创业,-0.07,312.14,,-6.62,,-3057.37,313.49,,04-27
3031,300696,爱乐达,0.22,10.0,,3.06,,2646.62,10.78,,04-27
3032,657,中钨高新,0.06,43.03,,1.52,,5063.99,43.29,,04-27
3033,300435,中泰股份,0.09,28.57,,1.58,,3365.24,82.72,,04-27
3034,300158,振东制药,0.06,18.56,,1.12,,6106.54,18.68,,04-27
3035,2831,裕同科技,0.16,-57.95,,2.22,,14208.56,-7.86,,04-27
3036,2272,川润股份,-0.01,-113.2,,-0.48,,-624.61,-113.36,,04-27
3037,2936,郑州银行,0.18,0.0,5.42,3.49,2.48,109506.7,4.57,,04-27
3038,2033,丽江股份,-0.04,-160.81,,-0.82,,-2145.92,-160.76,,04-27
3039,300341,麦克奥迪,0.03,-35.86,,1.31,,1293.48,-35.92,,04-27
3040,300669,沪宁股份,0.07,-13.64,,1.09,,564.65,-13.69,,04-27
3041,2373,千方科技,0.08,-20.0,,1.27,,11526.37,-24.37,,04-27
3042,300701,森霸传感,0.22,4.76,,4.76,,2641.92,55.7,,04-27
3043,603126,中材节能,-0.03,350.79,,-1.0,,-1735.71,349.01,,04-27
3044,603822,嘉澳环保,0.09,24.93,,0.83,,646.66,24.88,,04-27
3045,300456,赛微电子,0.01,-73.84,,0.24,,683.67,-44.46,,04-27
3046,603195,公牛集团,0.29,-61.33,,2.14,,17040.25,-57.68,,04-27
3047,2211,宏达新材,-0.01,-177.17,,-0.43,,-305.0,-176.41,,04-27
3048,300537,广信材料,0.03,-82.58,,0.44,,591.21,-82.57,,04-27
3049,603439,贵州三力,0.07,16.67,1.85,3.9,-0.02,2587.47,18.76,,04-27
3050,300641,正丹股份,0.02,0.0,,0.61,,816.97,-10.44,,04-27
3051,300036,超图软件,0.02,17.65,,0.47,,882.12,15.12,,04-27
3052,300742,越博动力,0.07,-135.0,,1.75,,512.46,-131.96,,04-27
3053,2790,瑞尔特,0.05,-64.29,,1.27,,2111.18,-39.02,,04-27
3054,2877,智能自控,0.03,-55.36,,1.1,,829.38,-28.91,,04-27
3055,600731,湖南海利,0.17,102.44,,5.15,,6198.65,102.34,,04-27
3056,300417,南华仪器,0.15,-13.3,,2.34,,1222.92,-15.92,,04-27
3057,300766,每日互动,0.08,-52.94,,1.96,,3361.28,-44.28,,04-27
3058,603115,海星股份,0.12,-42.86,,1.95,,2500.72,-24.63,,04-27
3059,300223,北京君正,0.06,406.56,,1.01,,1248.32,408.98,,04-27
3060,2943,宇晶股份,-0.04,-113.75,,-0.47,,-366.24,-113.76,,04-27
3061,688060,云涌科技,,,,,,1295.45,199.46,,04-27
3062,603590,康辰药业,0.2,-35.48,,1.17,,3223.35,-34.45,,04-27
3063,300703,创源股份,-0.05,-171.43,,-1.38,,-984.94,-210.33,,04-27
3064,2718,友邦吊顶,-0.16,-277.78,,-1.66,,-2076.0,-364.74,,04-27
3065,300066,三川智慧,0.02,-2.45,,1.16,,2070.24,-2.28,,04-27
3066,300393,中来股份,-0.05,-141.67,,-0.69,,-1936.27,-169.53,,04-27
3067,2407,多氟多,0.0,-97.0,,0.04,,123.56,-97.05,,04-27
3068,300762,上海瀚讯,-0.05,42.11,,-0.56,,-684.46,42.1,,04-27
3069,300121,阳谷华泰,0.01,-92.86,,0.08,,487.07,-91.17,,04-27
3070,810,创维数字,0.07,-33.51,,2.04,,7828.63,-33.39,,04-27
3071,2845,同兴达,0.07,133.33,,1.08,,1369.53,159.68,,04-27
3072,2879,长缆科技,0.16,21.8,,2.01,,2949.62,14.76,,04-27
3073,2967,广电计量,-0.22,69.23,,-7.88,,-11565.31,254.57,,04-27
3074,603527,众源新材,0.11,37.5,,2.05,,1911.75,43.7,,04-27
3075,300660,江苏雷利,0.19,-22.55,,2.09,,4898.79,10.85,,04-27
3076,2175,ST东网,-0.01,-51.76,,-5.59,,-928.42,-51.7,,04-27
3077,300821,东岳硅材,0.06,-33.33,,2.04,,5512.29,-34.24,,04-27
3078,2207,准油股份,-0.06,100.0,,-21.62,,-1471.49,131.51,,04-27
3079,300533,冰川网络,0.36,24.14,,2.1,,3603.1,24.76,,04-27
3080,300225,金力泰,0.0,-92.16,,0.04,,39.12,-91.84,,04-27
3081,300550,和仁科技,0.01,-87.5,,0.1,,62.34,-90.35,,04-27
3082,300649,杭州园林,0.16,4.0,,4.76,,1999.79,7.78,,04-27
3083,300043,星辉娱乐,0.01,-66.67,,0.45,,1320.54,-59.54,,04-27
3084,300732,设研院,0.19,-44.12,,1.65,,3628.55,-22.15,,04-27
3122,300810,中科海讯,0.03,-91.73,,0.26,,260.65,-88.91,,04-27
3123,300181,佐力药业,0.02,0.56,,0.83,,1092.22,0.92,,04-27
